stars_list,avg_rating,num_movies,rating_class,relative_freq,weighted_score
Bruce Dern,0.5734285714285714,70,0,0.014959470520226273,0.00857818780974118
Clint Eastwood,0.6669999999999999,70,1,0.014959470520226273,0.009977966836990922
Cate Blanchett,0.6629999999999999,70,1,0.014959470520226273,0.009918128954910017
Monica Rial,0.6572857142857143,70,1,0.014959470520226273,0.009832646266223011
Kathleen Barr,0.5848571428571429,70,0,0.014959470520226273,0.008749153187115194
Oliver Hardy,0.6681159420289855,69,1,0.014745763798508754,0.009851879871177588
Ewan McGregor,0.6417391304347826,69,1,0.014745763798508754,0.009462933637651704
John Malkovich,0.5904347826086956,69,0,0.014745763798508754,0.00870641184277169
Gary Oldman,0.6152173913043478,69,1,0.014745763798508754,0.009071850336908646
Glenn Ford,0.6105797101449276,69,0,0.014745763798508754,0.009003464185959043
Tom Sizemore,0.4273913043478261,69,0,0.014745763798508754,0.006302211223449611
John Cusack,0.5852173913043479,69,0,0.014745763798508754,0.008629477422953386
Tim McCoy,0.5433333333333333,69,0,0.014745763798508754,0.008011864997189757
Stan Laurel,0.6668115942028985,69,1,0.014745763798508754,0.009832646266223011
John DiMaggio,0.6601449275362319,69,1,0.014745763798508754,0.009734341174232953
Fred Tatasciore,0.6852173913043479,69,1,0.014745763798508754,0.01010405380280426
Kirk Douglas,0.6276811594202899,69,1,0.014745763798508754,0.009255638117585712
Robert Duvall,0.6392753623188405,69,1,0.014745763798508754,0.009426603494959726
Dolph Lundgren,0.44823529411764707,68,0,0.014532057076791238,0.006513780877949955
Laurence Fishburne,0.6479411764705882,68,1,0.014532057076791238,0.009415918158873852
Hoot Gibson,0.5602941176470588,68,0,0.014532057076791238,0.008142226097437444
Franco Nero,0.5729411764705883,68,0,0.014532057076791238,0.00832601387811451
Walt Disney,0.644264705882353,68,1,0.014532057076791238,0.009362491478444472
Charlton Heston,0.6076470588235294,68,0,0.014532057076791238,0.008830361741367853
Gene Hackman,0.6259701492537313,67,1,0.014318350355073717,0.00896285990883271
Mickey Rooney,0.5949253731343284,67,0,0.014318350355073717,0.008518349927660275
Arnold Schwarzenegger,0.6028358208955223,67,0,0.014318350355073717,0.008631614490170558
